Vettura	data	km	intervento	litri	euro	gasolio e/l
FR937FT	7-gen-19	4.937	gasolio	24,99	39,46	1,579
FR937FT	7-gen-19	4.937	accessori		6,50	1,579
FR937FT	16-gen-19	4.937	gasolio	30,55	48,85	1,599
FR937FT	24-gen-19	4.937	gasolio	29,13	46,87	1,609
FR937FT	30-gen-19	4.937	gasolio	22,71	35,00	1,541
FR937FT	7-feb-19	4.937	gasolio	32,02	49,66	1,551
FR937FT	12-feb-19	4.937	accessori		6,50	1,551
FR937FT	18-feb-19	4.937	gasolio	30,56	48,01	1,571
FR937FT	27-feb-19	6.440	gasolio	31,43	50,01	1,591
FR937FT	5-mar-19	6.440	gasolio	20,92	34,71	1,659
FR937FT	5-mar-19	6.440	accessori		-8,80	1,659
FR937FT	14-mar-19	6.440	gasolio	29,24	46,81	1,601
FR937FT	21-mar-19	8.133	gasolio	30,25	50,49	1,669
FR937FT	1-apr-19	8.133	gasolio	31,87	51,02	1,601
FR937FT	7-apr-19	8.133	gasolio	28,01	46,41	1,657
FR937FT	16-apr-19	8.133	gasolio	31,60	52,68	1,667
FR937FT	22-apr-19	8.133	gasolio	24,24	39,00	1,609
FR937FT	29-apr-19	9.955	gasolio	29,65	50,02	1,687
FR937FT	5-mag-19	9.955	gasolio	30,19	48,58	1,609
FR937FT	11-mag-19	9.955	gasolio	29,61	47,64	1,609
FR937FT	17-mag-19	9.955	gasolio	22,37	37,51	1,677
FR937FT	17-mag-19	9.955	lavaggio		45,00	1,677
FR937FT	17-mag-19	9.955	accessori		4,00	1,677
FR937FT	23-mag-19	9.955	gasolio	23,13	37,45	1,619
FR937FT	23-mag-19	11.779	accessori		5,00	1,619
FR937FT	1-giu-19	11.779	gasolio	31,19	50,18	1,609
FR937FT	1-giu-19	11.779	gasolio	28,66	46,11	1,609
FR937FT	3-giu-19	11.779	accessori		3,50	1,609
FR937FT	3-giu-19	11.779	lavaggio		3,00	1,609
FR937FT	3-giu-19	11.779	lavaggio		5,00	1,609
FR937FT	15-giu-19	11.779	gasolio	30,43	50,12	1,647
FR937FT	25-giu-19	11.779	gasolio	29,15	48,01	1,647
FR937FT	25-giu-19	13.705	gasolio	31,55	49,82	1,579
FR937FT	7-lug-19	16.159	gasolio	30,79	50,71	1,647
FR937FT	15-lug-19	16.159	gasolio	31,51	50,07	1,589
FR937FT	27-lug-19	16.159	gasolio	29,94	47,28	1,579
FR937FT	2-ago-19	18.263	gasolio	31,40	49,58	1,579
FR937FT	6-ago-19	18.263	gasolio	31,87	50,00	1,569
FR937FT	9-ago-19	18.263	gasolio	24,43	38,09	1,559
FR937FT	14-ago-19	18.263	gasolio	25,34	39,25	1,549
FR937FT	14-ago-19	18.263	gasolio	25,34	39,25	1,549
FR937FT	26-ago-19	18.263	gasolio	31,54	48,86	1,549
FR937FT	26-ago-19	18.263	lavaggio		5,00	1,549
FR937FT	29-ago-19	18.263	gasolio	22,33	37,05	1,659
FR937FT	29-ago-19	18.263	lavaggio		5,00	1,659
FR937FT	4-ott-19	23.496	gasolio	30,32	50,00	1,649
FR937FT	10-ott-19	23.496	gasolio	29,57	48,47	1,639
FR937FT	10-ott-19	23.496	accessori		6,00	1,639
FR937FT	16-ott-19	23.496	gasolio	32,51	51,01	1,569
FR937FT	21-ott-19	23.496	gasolio	29,08	45,63	1,569
FR937FT	24-ott-19	23.496	gasolio	26,53	43,48	1,639
FR937FT	28-ott-19	23.496	gasolio	30,36	49,76	1,639
FR937FT	5-nov-19	25.724	gasolio	31,23	51,19	1,639
FR937FT	10-nov-19	25.724	gasolio	27,81	45,58	1,639
FR937FT	16-nov-19	25.724	gasolio	29,49	46,62	1,581
FR937FT	22-nov-19	25.724	gasolio	28,28	46,69	1,651
FR937FT	25-nov-19	25.724	gasolio	19,81	31,32	1,581
FR937FT	1-dic-19	27.315	gasolio	30,25	50,55	1,671
FR937FT	10-dic-19	27.315	gasolio	26,90	42,80	1,591
FR937FT	10-dic-19	27.315	accessori		7,00	1,591
FR937FT	16-dic-19	27.315	gasolio	28,23	44,91	1,591
FR937FT	27-dic-19	27.315	gasolio	25,12	40,22	1,601
FR937FT	27-dic-19	27.315	gasolio	25,12	40,22	1,601
FR937FT	4-gen-20	29.389	gasolio	29,98	48,30	1,611
FR937FT	9-gen-20	29.389	gasolio	27,59	46,38	1,681
FR937FT	16-gen-20	29.389	gasolio	28,89	48,28	1,671
FR937FT	23-gen-20	29.389	gasolio	31,77	50,86	1,601
FR937FT	27-gen-20	29.389	gasolio	31,79	50,90	1,601
FR937FT	1-feb-20	32.473	gasolio	30,14	49,46	1,641
FR937FT	1-feb-20	32.473	accessori		6,00	1,641
FR937FT	5-feb-20	32.473	gasolio	31,10	48,86	1,571
FR937FT	5-feb-20	32.473	accessori		7,00	1,571
