un_razionale	un_intero	una_data_senzaOra
123000	33	27/05/2010
123456	-12	27/05/2010
1234560000	-12	27/05/2010
1,23456E+12	-12	27/05/2010
1,23E-06	-12	27/05/2010
0,0987123	0	01/01/1989
0,0987123	0	01/01/1989
NULL	-1	NULL
2,7182818	-32111	 
2,8182818	-32110	02/01/2000
3,7182818	-32110	03/01/2000
3,8182818	-32109	04/01/2000
4,7182818	-32109	05/01/2000
4,8182818	-32108	2001#12#24
5,7182818	-32108	2001_11#27
5,8182818	-32107	2001#10#4
6,7182818	-32107	2001-3/9
6,8182818	-32106	2001#12#24
7,7182818	-32106	2001#12#24
7,8182818	-32105	2001#12#24
8,7182818	-32105	2001#12#24
8,8182818	-32104	2001#12#24
9,7182818	-32104	2001#12#24
9,8182818	-32103	2001#12#24
10,7182818	-32103	17/01/2000
3,7182818	-32102	18/01/2000
3,8182818	-32102	19/01/2000
4,7182818	-32101	20/01/2000
4,8182818	-32101	21/01/2000
5,7182818	-32100	22/01/2000
5,8182818	-32100	23/01/2000
6,7182818	-32099	24/01/2000
6,8182818	-32099	25/01/2000
7,7182818	-32098	26/01/2000
7,8182818	-32098	27/01/2000
8,7182818	-32097	28/01/2000
8,8182818	-32097	29/01/2000
9,7182818	-32096	30/01/2000
9,8182818	-32096	31/01/2000
10,7182818	-32095	01/02/2000
10,8182818	-32095	02/02/2000
11,7182818	-32094	03/02/2000
4,7182818	-32094	04/02/2000
4,8182818	-32093	05/02/2000
5,7182818	-32093	06/02/2000
5,8182818	-32092	07/02/2000
6,7182818	-32092	08/02/2000
6,8182818	-32091	09/02/2000
7,7182818	-32091	10/02/2000
7,8182818	-32090	11/02/2000
8,7182818	-32090	12/02/2000
8,8182818	-32089	13/02/2000
9,7182818	-32089	14/02/2000
9,8182818	-32088	15/02/2000
10,7182818	-32088	16/02/2000
10,8182818	-32087	17/02/2000
11,7182818	-32087	18/02/2000
11,8182818	-32086	19/02/2000
12,7182818	-32086	20/02/2000
5,7182818	-32085	21/02/2000
5,8182818	-32085	22/02/2000
6,7182818	-32084	23/02/2000
6,8182818	-32084	24/02/2000
7,7182818	-32083	25/02/2000
7,8182818	-32083	26/02/2000
8,7182818	-32082	27/02/2000
8,8182818	-32082	28/02/2000
9,7182818	-32081	29/02/2000
9,8182818	-32081	01/03/2000
10,7182818	-32080	02/03/2000
10,8182818	-32080	03/03/2000
11,7182818	-32079	04/03/2000
11,8182818	-32079	05/03/2000
12,7182818	-32078	06/03/2000
12,8182818	-32078	07/03/2000
13,7182818	-32077	08/03/2000
6,7182818	-32077	09/03/2000
6,8182818	-32076	10/03/2000
7,7182818	-32076	11/03/2000
7,8182818	-32075	12/03/2000
8,7182818	-32075	13/03/2000
8,8182818	-32074	14/03/2000
9,7182818	-32074	15/03/2000
9,8182818	-32073	16/03/2000
10,7182818	-32073	17/03/2000
10,8182818	-32072	18/03/2000
11,7182818	-32072	19/03/2000
11,8182818	-32071	20/03/2000
12,7182818	-32071	21/03/2000
12,8182818	-32070	22/03/2000
13,7182818	-32070	23/03/2000
13,8182818	-32069	24/03/2000
14,7182818	-32069	25/03/2000
7,7182818	-32068	26/03/2000
7,8182818	-32068	27/03/2000
8,7182818	-32067	28/03/2000
8,8182818	-32067	29/03/2000
9,7182818	-32066	30/03/2000
9,8182818	-32066	31/03/2000
10,7182818	-32065	01/04/2000
10,8182818	-32065	02/04/2000
11,7182818	-32064	03/04/2000
11,8182818	-32064	04/04/2000
12,7182818	-32063	05/04/2000
12,8182818	-32063	06/04/2000
13,7182818	-32062	07/04/2000
13,8182818	-32062	08/04/2000
14,7182818	-32061	09/04/2000
14,8182818	-32061	10/04/2000
15,7182818	-32060	11/04/2000
